,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
293,314,314,경기 용인시 기흥구 청명산로 51 (저압수용가),경기 용인시 기흥구 청명산로 51,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0901572,37.25864108
298,319,319,경기도 용인시 처인구 이동읍 원천로 17번길 4 (저압수용가),경기 용인시 처인구 이동읍 원천로17번길 4,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2084316,37.19325502
300,321,321,상하동행정복지센터 전기차충전소,경기 용인시 기흥구 어정로 62-23,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1383972,37.27051314
301,322,322,롯데몰 수지점 전기차충전소,경기 용인시 수지구 성복2로 38,0,24,1,2,0,0,0,0,0,1,1,2,1,1,2,0,127.0816669,37.31279759
303,324,324,녹원마을새천년그린빌4단지-3 전기차충전소,경기 용인시 기흥구 새천년로 38,2,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.113492,37.28907933
305,326,326,지오렌터카 신갈점 전기차충전소,경기 용인시 기흥구 신갈동 552,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0971513,37.29057049
306,327,327,올콘텐츠 전기차충전소,경기 용인시 처인구 모현읍 문현로 348,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.2463642,37.33706664
307,328,328,성복동주민센터 전기차충전소,경기 용인시 수지구 성복1로 100,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0690037,37.31648737
310,331,331,흥덕유타워 지식산업센터관리단 전기차충전소,경기 용인시 기흥구 흥덕중앙로 120,5,24,1,5,1.25,1,1,1,1,1,1,1,2.5,2.5,1,2,127.0800971,37.27489022
312,333,333,경기 용인시 처인구 모현읍 왕림로 68-20 (저압수용가),경기 용인시 처인구 모현읍 왕림로 68-20,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1825518,37.34378892
313,334,334,상현2동행정복지센터 전기차충전소,경기 용인시 수지구 만현로 48,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.0865294,37.31036044
317,338,338,용인 동백테라스 전기차충전소,경기 용인시 기흥구 동백동 589,0,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1646952,37.27923424
318,339,339,포곡읍사무소 전기차충전소,경기 용인시 처인구 포곡읍 포곡로 258 입구 왼쪽 주차장 끝부지,0,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,127.2308231,37.27781781
319,340,340,대웅제약 전기차충전소,경기 용인시 처인구 포곡읍 두계로 35,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2366965,37.28002546
322,343,343,서농도서관 전기차충전소,경기 용인시 기흥구 서천동 748,0,24,1,2,1,1,1,0,0,0,0,0,2,2,0,0,127.069141,37.23779127
324,345,345,구갈동주민센터 전기차충전소,경기 용인시 기흥구 강남로 23,0,9,1,1,0,0,0,0,0,0,0,0,1,1,0,0,127.1275882,37.27242458
330,351,351,신갈동주민센터 전기차충전소,경기 용인시 기흥구 신갈로58번길 11,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1067678,37.27260603
334,355,355,세이브솔라 전기차충전소,경기 용인시 처인구 양지면 주북리 산 44,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2559427,37.25453836
336,357,357,EV충전소 용인IC셀프주유소 전기차충전소,경기 용인시 처인구 백옥대로 1410,0,15,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2130945,37.26088474
344,365,365,기후변화체험센터 전기차충전소,경기 용인시 처인구 동부로162번길 14,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2228402,37.222622
345,366,366,처인구청 전기차충전소,경기 용인시 처인구 금령로 50,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2013372,37.23437996
346,367,367,더테라스힐1차 전기차충전소,경기 용인시 수지구 동천로 344,0,24,1,1,1,1,1,1,1,1,1,1,0,0,1,1,127.0682243,37.34241718
347,369,369,경기 용인시 수지구 신봉1로301번길 6 (저압수용가),경기 용인시 수지구 신봉1로301번길 6,0,3,1,1,1,1,1,0,0,0,0,0,0,0,1,1,127.0561687,37.33209293
348,370,370,현대글로비스 전기차충전소,경기 용인시 처인구 남사읍 경기동로 316 현대리바트 내 물류창고 도크,0,24,1,9,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,127.1599226,37.13881302
352,374,374,한국지엠명지서비스 전기차충전소,경기 용인시 처인구 명지로 254,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2022325,37.22695958
355,377,377,스테이타워 전기차충전소,경기 용인시 기흥구 중부대로 382,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1094185,37.2716631
363,385,385,기아 신갈지점 전기차충전소,경기 용인시 기흥구 용구대로 2253,2,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1081276,37.28808275
366,389,389,모현읍행정복지센터 전기차충전소,경기 용인시 처인구 모현읍 갈담리 309,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.2424978,37.32945525
368,391,391,이마트 죽전점 전기차충전소,경기 용인시 수지구 포은대로 552 본관 3층 B1구역,2,14,1,2,0,0,0,0,0,0,0,1,1,1,0,0,127.1099743,37.32533399
369,392,392,송전마을세광엔리치타워 전기차충전소,경기 용인시 처인구 이동읍 경기동로705번길 30,10,24,1,10,4,4,4,4,3,1,2,2,2,2,3,4,127.2011481,37.13941323
372,395,395,신동백두산위브더제니스상가 전기차충전소,경기 용인시 기흥구 동백죽전대로 507,0,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1506085,37.28302466
373,396,396,더테라스힐2차 전기차충전소,경기 용인시 수지구 동천로 344,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0682243,37.34241718
378,401,401,현대파인빌리지 202동 전기차충전소,경기 용인시 수지구 이현로 105,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0924254,37.31145588
379,402,402,용인시청 전기차충전소,경기 용인시 처인구 중부대로 1199 지하1층 주차장 가03 기둥옆,4,24,1,4,2,2,2,2,2,0,0,0,0,0,0,0,127.1779684,37.24086733
385,408,408,오토허브 전기차충전소,경기 용인시 기흥구 중부대로 242,0,11,1,1,0,0,0,0,0,0,0,1,0,0,1,0,127.0932438,37.26946876
388,411,411,남사읍행정복지센터 전기차충전소,경기 용인시 처인구 남사읍 내기로 22 지상1층주차장,0,24,1,1,0,0,0,1,0,0,0,0,0,0,1,0,127.1505036,37.11568157
389,412,412,경기 용인시 수지구 신봉1로172번길 38 (저압수용가),경기 용인시 수지구 신봉1로172번길 38,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0708176,37.33104266
392,415,415,용인시 용인수하림 전기차충전소,경기 용인시 처인구 포곡읍 석성로 1051,0,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,127.2124097,37.27475045
396,419,419,성북역서희스타힐스 전기차충전소,경기 용인시 수지구 성복1로 80,2,24,1,2,2,2,1,1,1,1,1,1,0,0,1,1,127.071268,37.31567266
401,424,424,총신대학교 신학대학원 전기차충전소,경기 용인시 처인구 양지면 학촌로 110,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.3001085,37.24860492
403,426,426,메종블루아 103동 전기차충전소,경기 용인시 기흥구 동탄기흥로785번길 32,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,127.0983919,37.22863378
406,429,429,풍덕천2동주민센터 전기차충전소,경기 용인시 수지구 풍덕천로 51,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,127.0887777,37.31946228
409,432,432,단국대학교 죽전캠퍼스 전기차충전소,경기 용인시 수지구 죽전로 152,3,24,1,4,2,2,2,2,2,0,2,2,2,2,2,2,127.1325359,37.32119387
411,434,434,휴맥스이브이 영문공장 전기차충전소,경기 용인시 처인구 영문로 2,0,24,1,4,2,2,2,2,2,2,2,2,2,2,2,2,127.2110634,37.26772259
415,438,438,메종블루아 102동 전기차충전소,경기 용인시 기흥구 동탄기흥로785번길 31,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0982709,37.2278552
416,439,439,예아리박물관 전기차충전소,경기 용인시 처인구 백암면 원설로270번길 25,2,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.3642612,37.14132389
427,452,452,용인 (주)선진하우징(골든풍산리치안오피스텔),경기 용인시 수지구 광교중앙로296번길 4,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.0696362,37.2960425
429,454,454,피엘웍스 전기차충전소,경기 용인시 기흥구 한일로 12-18,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.1030423,37.24489353
433,458,458,광교푸르지오시티3단지 전기차충전소,경기 용인시 수지구 광교중앙로296번길 14 지하3층주차장,3,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,127.0701725,37.29713604
440,465,465,벨라팰리스 전기차충전소,경기 용인시 기흥구 죽현로 94,2,14,1,2,2,2,2,2,1,1,0,0,0,0,0,0,127.1206122,37.31927382
446,471,471,광교푸르지오시티2단지 전기차충전소,경기 용인시 수지구 광교중앙로296번길 22 지하3층주차장,3,24,1,3,0,0,0,0,0,0,1,0,0,0,0,0,127.0703286,37.29767855
447,472,472,KB증권연수원 전기차충전소,경기 용인시 기흥구 마북로240번길 17,5,24,1,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,2.5,2.5,2.5,2.5,127.1348434,37.30982761
450,475,475,녹원마을새천년그린빌4단지-2 전기차충전소,경기 용인시 기흥구 새천년로 38,2,9,1,2,1,0,0,0,0,0,0,0,0,0,1,2,127.113492,37.28907933
454,480,480,동백중앙프라자상가 전기차충전소,경기 용인시 기흥구 동백7로 83,5,24,1,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,127.1603956,37.28168512
458,484,484,경기도 용인시 기흥구 동백중앙로54번길 6-37,경기 용인시 기흥구 동백중앙로54번길 6-37,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.163192,37.26150962
460,486,486,기흥SK아펠바움콘도미니엄 전기차충전소,경기 용인시 기흥구 기흥단지로 394,3,24,1,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,127.1331254,37.21756578
463,489,489,쥬네브문월드 전기차충전소,경기 용인시 기흥구 동백5로 22,6,24,1,6,0,0,0,0,0,1.5,0,0,0,0,0,0,127.1512771,37.27585694
464,490,490,분당수지유타워 전기차충전소,경기 용인시 수지구 동천동 899 B4전기실앞,15,24,1,15,4,4,4,4,3,2,1,2,9,9,2,1,127.1016828,37.33821526
