,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
40,40,한국델파이 전기차충전소,경기 용인시 기흥구 용구대로 2302,0,24,1,1,1,1,1,1,1,1,1,0,1,1,0,0,127.1118257,37.29185962
42,42,백암면사무소 전기차충전소,경기 용인시 처인구 백암면 백암로 189 지상1층 주차장,0,24,1,1,0,0,0,0,0,0,1,0,0,0,1,0,127.3753789,37.16340683
43,43,금호어울림아파트 전기차충전소,경기 용인시 처인구 금령로13번길 13,7,24,1,7,2.333333333,2.333333333,2.333333333,2.333333333,1.166666667,0,1.166666667,1.166666667,0,0,3.5,4.666666667,127.1977909,37.23660196
44,44,용인동부경찰서 전기차충전소,경기 용인시 처인구 금학로 143,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1804314,37.24155777
45,45,기흥ICT밸리 B동 전기차충전소,경기 용인시 기흥구 기흥로 58,12,9,1,13,1,2,2,2,2,2,2,2,2,2,2,2,127.1179562,37.28056186
46,46,유니버스트윈2차오피스텔 전기차충전소,경기 용인시 처인구 명지로60번길 8-11,0,24,1,1,0,0,0,0,0,0,0,1,0,0,0,0,127.1872947,37.23154686
47,47,수진마을4단지신명스카이뷰아파트,경기 용인시 수지구 손곡로 53,3,24,1,3,0,0,0,0,0,0,0,0,0,0,1,1,127.0962164,37.33593842
48,48,기흥휴게소 부산방향 전기차충전소,경기 용인시 기흥구 공세로 173,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.1043162,37.23637672
49,49,삼천리 에버랜드 복합충전소 전기차충전소,경기 용인시 처인구 포곡읍 곡현로 74,0,24,1,5,0,0,0,0,0,0,0,0,1.25,1.25,0,0,127.2226093,37.29327236
50,50,구성동주민센터 전기차충전소,경기 용인시 기흥구 구성로77번길 17,0,24,1,2,1,2,2,2,2,2,2,2,2,2,2,2,127.1189815,37.29676402
51,51,수지자이2차아파트 2 전기차충전소,경기 용인시 수지구 성복2로 184,2,24,1,2,0,0,0,0,0,0,0,0,1,1,1,1,127.0673642,37.31911834
